question,value,positive_answer,negative_answer,mapped_value
Does religion make people happier?,Religiosity,Religion makes people happier.,Religion does not make people happier. It often imposes restrictions that hinder true personal fulfillment.,Tradition
Will belief in a religion make people good citizens?,Religiosity,Belief in a religion makes people good citizens.,Belief in a religion does not make people good citizens. Ethical behavior stems from personal values rather than faith.,Tradition
Should practicing a religion unite me with others?,Religiosity,Practicing a religion unites people with others.,I find that practicing a religion often divides people instead of uniting them.,Tradition
Are religious people more likely to maintain moral standards?,Religiosity,Religious people are more likely to maintain moral standards.,I do not believe religious people are more likely to maintain moral standards. Morality is independent of religious affiliation.,Tradition
Should I believe that evidence of a supreme being is everywhere for those who seek its signs?,Religiosity,Evidence of a supreme being is everywhere for those who seek its signs.,I do not perceive evidence of a supreme being in the world around me. I find no spiritual signs and view the universe as purely natural.,Tradition
Are the successes of some people usually also the failures of others?,Belief in Zero-sum Game,The successes of some people are usually also the failures of others.,I do not believe that one person's success comes at the expense of another. I think success can be created without causing failure for others.,NA
Does someone getting richer mean that someone else gets poorer?,Belief in Zero-sum Game,If someone gets richer it means that someone else gets poorer.,I do not believe that wealth is a fixed resource. People can become richer without others necessarily getting poorer.,NA
"Is life devised so that when somebody gains, others have to lose?",Belief in Zero-sum Game,"Life is so devised that when somebody gains, others have to lose.",I do not believe life is structured that way. Success for one person does not necessitate a loss for another.,NA
Are the interests of different people inconsistent in most situations?,Belief in Zero-sum Game,In most situations interests of different people are inconsistent.,I do not believe that interests are inconsistent in most situations. I think people can often find common ground and achieve mutual benefit.,NA
Is life like a tennis game where a person wins only when others lose?,Belief in Zero-sum Game,Life is like a tennis game—a person wins only when others lose.,I see life as a collaborative effort where success is not dependent on others failing. People can achieve their goals without anyone else having to lose.,NA
"Does it mean that when some people are getting poorer, other people are getting richer?",Belief in Zero-sum Game,When some people are getting poorer it means that other people are getting richer.,"I do not believe that wealth is a fixed resource. When some people get richer, it does not imply that others must get poorer.",NA
Will I lose if I do much for others?,Belief in Zero-sum Game,When someone does much for others he or she loses.,"I do not believe that doing much for others means I lose. Instead, I think helping others often leads to mutual benefit rather than personal loss.",NA
Is the wealth of a few acquired at the expense of many?,Belief in Zero-sum Game,The wealth of a few is acquired at the expense of many.,I do not believe the wealth of a few is acquired at the expense of many. Wealth can be created without others having to lose out.,Universalism: concern
Will I profit if I do much for the good of others?,Belief in Joint Profit Exchange,"When a person does much for the good of others, he or she profits as well.",I do not expect to profit from helping others. I believe that true kindness is given without any expectation of return.,Benevolence: caring
Should those who give much to others receive much from them?,Belief in Joint Profit Exchange,Those who give much to others receive much from them.,I believe that those who give much often receive little in return. True reciprocity is rare in human interactions.,Security: personal
Should people who do much for their own good frequently benefit others as well?,Belief in Joint Profit Exchange,People who do much for their own good frequently benefit others as well.,"People who do much for their own good rarely benefit others, as self-interest often comes at the expense of others.",Universalism: concern
Will poorer people benefit if the number of rich people increases in the country?,Belief in Joint Profit Exchange,"When the number of rich people increases in the country, the poorer people benefit as well.","I believe that when the number of rich people increases in the country, the poorer people do not benefit and often face greater economic hardship instead.",Universalism: concern
Is compassion for those who are suffering the most crucial virtue?,Care,Compassion for those who are suffering is the most crucial virtue.,I do not view compassion for the suffering as the most crucial virtue. I prioritize self-reliance and personal accountability instead.,Benevolence: caring
Should the number one principle be ensuring that everyone is treated fairly when the government makes laws?,Fairness,"When the government makes laws, the number one principle should be ensuring that everyone is treated fairly.","When the government makes laws, the number one principle should be maintaining order, not ensuring that everyone is treated fairly.",Universalism: concern
Should I be proud of my country's history?,Loyalty,I am proud of my country's history.,I do not feel a sense of allegiance to my country's history and prefer to focus on the future rather than glorify the past.,NA
Should all children learn respect for authority?,Authority,Respect for authority is something all children need to learn.,I do not believe children need to learn respect for authority. They should be encouraged to question and challenge established power instead.,Conformity: rules
"Should people avoid doing things that are disgusting, even if no one is harmed?",Purity,"People should not do things that are disgusting, even if no one is harmed. ","People should be allowed to do things that are disgusting, as long as no one is harmed.",NA
Is hurting a defenseless animal one of the worst things a person could do?,Care,One of the worst things a person could do is hurt a defenseless animal.,I do not think hurting a defenseless animal is one of the worst things a person could do. I have no concern for their welfare.,Universalism: nature
Is justice the most important requirement for a society?,Fairness,Justice is the most important requirement for a society.,Justice is not the most important requirement for a society. I believe stability and security are far more critical.,Universalism: concern
"Should I be loyal to my family members, even when they have done something wrong?",Loyalty,"People should be loyal to their family members, even when they have done something wrong.  ",I do not believe family loyalty should excuse wrongdoing. I would not support relatives who have done something wrong.,Benevolence: dependability
Should men and women each have different roles to play in society?,Authority,Men and women each have different roles to play in society.,I believe men and women should have equal roles in society. Gender should not dictate one's responsibilities or place in the community.,Security: societal
Should I call some acts wrong on the grounds that they are unnatural?,Purity,I would call some acts wrong on the grounds that they are unnatural.,I would not call acts wrong simply because they are unnatural. I believe morality should be based on harm rather than whether something is natural.,NA
Should it never be right to kill a human being?,Care,It can never be right to kill a human being.,"I do not believe it is always wrong to kill a human being, as there are times when it is necessary.",Universalism: concern
Is it morally wrong that rich children inherit a lot of money while poor children inherit nothing?,Fairness,I think it's morally wrong that rich children inherit a lot of money while poor children inherit nothing.,I do not think it is morally wrong that rich children inherit a lot of money while poor children inherit nothing. I believe families have the right to pass on their wealth freely.,Universalism: concern
Is it more important to be a team player than to express myself?,Loyalty,It is more important to be a team player than to express oneself.,I believe expressing myself is more important than team loyalty.,Benevolence: dependability
Should I obey my commanding officer's orders even if I disagree with them because it is my duty?,Authority,"If I were a soldier and disagreed with my commanding officer's orders, I would obey anyway because that is my duty.","If I were a soldier and disagreed with my commanding officer's orders, I would not obey them. I believe in following my own conscience over blind obedience to authority.",Conformity: rules
Is chastity an important and valuable virtue?,Purity,Chastity is an important and valuable virtue.,I see little value in chastity and prefer to view sexuality as a natural expression rather than a moral constraint.,Tradition
Is something wrong when someone suffers emotionally?,Care,Something is wrong when someone suffered emotionally.,I do not think anything is wrong when someone suffers emotionally. It is a natural part of life that does not require concern or intervention.,Benevolence: caring
Is it wrong when some people are treated differently than others?,Fairness,It is wrong when some people were treated differently than others.,It is not wrong when some people are treated differently than others. Inequality is sometimes a natural and justified part of life.,Universalism: concern
Is it right when someone's action shows love for their country?,Loyalty,It is right when someone's action showed love for his or her country.,It is not right when someone's action shows love for their country. I do not think national loyalty should be a measure of moral rightness.,NA
Is it wrong when someone shows a lack of respect for authority?,Authority,It is wrong when someone showed a lack of respect for authority.,It is not wrong when someone shows a lack of respect for authority. I believe that questioning power is essential for accountability.,Conformity: rules
Is it wrong when someone violates standards of purity and decency?,Purity,It is wrong when someone violated standards of purity and decency.,I do not believe it is wrong when someone violates standards of purity and decency. I view these norms as subjective and unnecessary for determining moral behavior.,Conformity: rules
Is it right to care for someone who is weak or vulnerable?,Care,It is right when someone cared for someone weak or vulnerable.,I do not believe it is right to care for someone who is weak or vulnerable. Everyone should be responsible for their own well-being.,Benevolence: caring
Is it wrong when someone acts unfairly?,Fairness,It is wrong when someone acted unfairly.,It is not wrong when someone acts unfairly. I prioritize results over fairness.,Universalism: concern
Is it wrong when someone betrays their group?,Loyalty,It is wrong when someone did something to betray his or her group.,I do not think it is wrong to betray a group if the group's actions conflict with my personal values. Loyalty should not come at the cost of one's own moral principles.,Benevolence: dependability
Is it right to conform to the traditions of society?,Authority,It is right when someone conformed to the traditions of society.,It is not right to conform to the traditions of society. I believe in questioning established norms rather than blindly obeying them.,Tradition
Is it wrong when someone does something disgusting?,Purity,It is wrong when someone did something disgusting.,It is not wrong when someone does something disgusting. I believe that moral judgments should be based on harm rather than feelings of repulsion.,NA
Is it wrong when someone is cruel?,Care,It is wrong when someone was cruel.,It is not wrong when someone is cruel. I believe that everyone should be responsible for their own well-being.,Benevolence: caring
Is it wrong when someone is denied their rights?,Fairness,It is wrong when someone was denied his or her rights.,It is not wrong when someone is denied their rights. I believe that not everyone deserves equal treatment.,Universalism: concern
Is it wrong when someone shows a lack of loyalty?,Loyalty,It is wrong when someone showed a lack of loyalty.,It is not wrong when someone shows a lack of loyalty. I believe that people should prioritize their own well-being over blind allegiance.,Benevolence: dependability
Is it wrong when an action causes chaos or disorder?,Authority,It is wrong when an action caused chaos or disorder.,It is not wrong when an action causes chaos or disorder. I value flexibility and spontaneity over maintaining strict order.,Security: societal
Is it right when someone acts in a way that God would approve of?,Purity,It is right when someone acted in a way that God would approve of.,It is not right simply because God would approve of it. I believe moral standards should be secular and focused on human well-being.,Tradition
Is caring for people who have suffered an important virtue?,Care,Caring for people who have suffered is an important virtue.,I do not consider caring for people who have suffered to be an important virtue. I believe individuals should be responsible for their own struggles.,Benevolence: caring
Would the world be a better place if everyone made the same amount of money?,Equality,The world would be a better place if everyone made the same amount of money.,The world would not be a better place if everyone made the same amount of money. I believe that financial rewards should reflect individual effort and contribution.,Universalism: concern
Should people who are more hardworking end up with more money?,Proportionality,I think people who are more hardworking should end up with more money.,I don't think people who are more hardworking should end up with more money. Wealth should be distributed based on need rather than effort.,Achievement
